,,,,,,,,,,,,,,,,
,,Crypto (Lemon),,,,Ualá,Brubank,NaranjaX,Cocos,Otros,Efectivo,,,,Total,
,,ARS,BTC,ETH,USD,ARS,ARS,ARS,ARS,USD,ARS,USD,EUR,,,
,20/12/2021,"323,15","0,00003545",,,"1.139,05",,,,,"1.180,00","85,00","5,00",,"ARS 20.892,20",
,27/12/2021,"357,09","0,00003545",,,"747,12",,,,,"2.270,00","95,00","5,00",,"ARS 23.624,21",
,06/01/2022,"2.378,65","0,00017583","0,00129239",,"751,89",,,,,"1.870,00","85,00","5,00",,"ARS 23.675,54",
,24/01/2022,"2.138,05","0,00017613","0,00129239",,"1.462,17",,,,,"2.360,00","85,00","5,00",,"ARS 25.825,22",
,23/02/2022,"2.536,10","0,00017661","0,00219969",,"1.271,76",,,,,"5.575,00","85,00","5,00",,"ARS 28.227,86",
,22/03/2022,"4.175,74","0,00024336","0,00220645","5,183246","1.341,62",,,,,"6.260,00","60,00","5,00",,"ARS 25.027,36",
,21/04/2022,"4.719,03","0,00014462","0,00250161","10,412346","60,79",,,,,"6.690,00","60,00","5,00",,"ARS 24.719,82",
,24/05/2022,"2.508,00","0,00022509","0,00251106","14,767827","62,72",,,,,"8.520,00","60,00","5,00",,"ARS 24.340,72",
,09/08/2022,"2.752,26","0,00023464","0,00253239",0,"67,84",,,,"300,00","14.460,00","60,00","5,00",,"ARS 124.225,10",
,06/09/2022,"9.211,70","0,00023930","0,00254003","24,556687","70,85",,,,"518,30","4.180,00","60,00","5,00",,"ARS 171.622,70",
,05/10/2022,"6.720,10","0,00028302","0,00254768","13,140507","74,23",,,,"714,80","3.360,00","60,00","5,00",,"ARS 238.765,73",
,03/11/2022,"36.931,16","0,00028386","0,00255536","115,91496","77,74",,,,"807,82","2.060,00","60,00","5,00",,"ARS 296.550,80",
,08/12/2022,"11.211,49","0,00028815","0,00256173","23,462123","131,93",,,,"43,82","840,00","1.010,00","5,00",,"ARS 347.140,54",
,05/01/2023,"5.533,72","0,00029067","0,00256369","7,802875","1.212,83",,,,"602,42","11.190,00","910,00","5,00",,"ARS 553.585,81",
,11/02/2023,"3.938,30","0,00029067","0,00256516",0,"8.367,62",,,,"550,67","19.950,00","1.370,00","5,00",,"ARS 764.010,52",Mac
,09/03/2023,"25.451,77","0,00029067","0,00256516","58,001164","8.455,24",,,,"447,17","14.410,00","770,00","5,00",,"ARS 537.185,01",
,10/04/2023,"34.722,69","0,00029255","0,00256516","58,5825","11.993,56",,,,"343,68","18.810,00","1.190,00",0,,"ARS 678.998,25",
,23/05/2023,"30.151,04","0,00029356","0,00256516","50,646029","12.633,48",,,,"268,70","18.740,00","1.475,00",0,,"ARS 924.656,02",
,23/07/2023,"123.632,57","0,00029434","0,00256516","225,19","12.169,54",,,,0,"12.330,00","2.037,00",0,,"ARS 1.223.668,11",
,19/08/2023,"136.123,85","0,00029503","0,00256516","180,20","11.925,32",,,,0,"18.690,00","2.274,00",0,,"ARS 1.804.019,17",
,16/09/2023,"103.773,70","0,00029585","0,00256516","132,56","12.321,73",,,,0,"33.250,00","2.505,00",0,,"ARS 1.977.995,43",
,31/10/2023,"71.869,09","0,00029716","0,00256516","69,99094","12.078,07",,,,0,"20.030,00","2.845,00",0,,"ARS 2.749.827,16",
,25/11/2023,"31.273,86","0,00029716","0,00256516","18,23","11.995,77",,,,0,"12.070,00","3.040,00",0,,"ARS 3.095.339,63",
,18/12/2023,"20.844,58","0,00029763","0,00256516","3,03","12.725,68",,,,0,"19.290,00","3.235,00",0,,"ARS 3.287.860,26",
,09/01/2024,"236.496,74","0,00029802","0,00256516","190,44","13.510,83",,,,0,"16.350,00","3.650,00",0,,"ARS 4.354.357,57",
,06/02/2024,"195.290,34","0,00029835","0,00256516","136,94","12.273,86",,,,0,"520,00","4.630,00",0,,"ARS 5.356.823,20",Mudanza
,06/03/2024,"848.945,83","0,00033774","0,00256516","805,55","13.205,09",,,,0,"204.048,00","2.314,00",0,,"ARS 3.403.330,92",
,14/04/2024,"559.802,90","0,00036485","0,00256925","507,19","77,48","22.925,00","116.080,24",,0,"157.270,00","2.502,00",0,,"ARS 3.370.665,62",
,22/05/2024,"1.077.669,90","0,00037925","0,00257373","873,66","81,26","24.500,00","82.892,97",,0,"218.430,00","2.340,00",0,,"ARS 4.351.974,13",Vacaciones
,24/06/2024,"960.364,41","0,00039796","0,00257845","712,05","83,21","105.840,81","72.277,59",,0,"199.670,00","2.063,00",0,,"ARS 4.061.396,02",
,16/07/2024,"1.183.990,05","0,00043180","0,00258175","876,82","85,14","189.090,00","62.663,83",,0,"114.370,00","2.658,00",0,,"ARS 5.309.199,02",
,13/08/2024,"1.111.650,35","0,00043939","0,00258579","849,07","87,34","214.250,22","49.467,98",,0,"94.540,00","3.400,00",0,,"ARS 6.059.995,89",Dolar de 1450 a 1230
,17/09/2024,"2.046.279,65","0,00047238","0,00259044","1.643,62","38.412,11","279.484,57",0,,0,"41.230,00","2.860,00",0,,"ARS 6.009.006,33",
,07/10/2024,"1.749.287,61","0,00049679","0,00259348","1.451,71","36.310,71","384.235,00",0,,"1.200,00","102.240,00","2.190,00",0,,"ARS 6.241.223,32",Dolar de 1230 a 1185
,11/11/2024,"1.261.361,35","0,00063201","0,11376764","704,40","20.995,71","491.240,00",0,,0,"78.790,00","3.680,00",0,,"ARS 6.010.787,06",Dolar de 1185 a 1130
,18/12/2024,"1.904.832,73","0,00067622","0,18337927","270,21","7.178,56","730.381,00","203.013,52",,0,"69.490,00","3.114,00",0,,"ARS 6.604.985,81",Dolar de 1130 a 1185
,13/01/2025,"2.507.365,12","0,00074268","0,18366463","1.049,58","3.178,56","976.417,00",0,,0,"177.000,00","2.564,00",0,,"ARS 6.792.040,68",Dolar de 1185 a 1220 y bajada crypto
,18/02/2025,"2.664.793,69","0,00083573","0,18400752","1.295,83",0,"1.362.423,00",0,,0,"175.020,00","2.419,00",0,,"ARS 7.177.606,69",Aumento de sueldo pero baja de crypto
,17/03/2025,"2.693.872,80","0,00715612","0,18429177","968,24","202.521,23","2.002.852,00",0,,0,"85.100,00","2.419,00",0,,"ARS 7.959.716,03",Baja de crypto
,11/04/2025,"3.215.352,26","0,00718413","0,32068544","1.044,11","821.726,06","2.053.480,00",0,,0,"113.370,00","2.419,00",0,,"ARS 9.481.673,32",Baja de acciones pero suba de dolar a 1355
,16/06/2025,"3.744.402,79","0,00731655","0,32188074","1.315,92","385.388,88","2.545.028,00",0,"533.498,40",0,"195.680,00","1.113,00",0,,"ARS 8.717.338,07",Vacaciones
,14/07/2025,"4.167.440,72","0,00735195","0,18580384","1.698,79","305.335,31","3.724.006,00",0,"1.127.930,52",0,"85.210,00","1.113,00",0,,"ARS 10.890.212,55","Dolar 1330. BTC 120k, ETH 3k, aguinaldo"
,12/08/2025,"4.696.103,86","0,00738253","0,08420569","2.235,91","268.376,69","4.213.003,00",0,"1.459.807,12",0,"212.570,00","1.113,00",0,,"ARS 12.319.020,67","Dolar 1320. BTC 120k, ETH 4.3k"
,15/09/2025,"4.893.280,92","0,00742582","0,08437928","1.969,76","241.787,09","5.362.721,00",0,"1.977.520,33",0,"29.630,00","1.113,00",0,,"ARS 14.113.224,34","Dolar 1445. BTC 114k, ETH 4.5k"
,18/10/2025,"5.060.933,94","0,00746744","0,08475697","1.749,00",0,"5.785.885,00",0,"2.600.277,07",0,"193.530,00","1.113,00",0,,"ARS 15.283.431,01","Dolar 1485. BTC 107k, ETH 3.8k"
,20/11/2025,"4.384.767,62","0,00860727",0,"2.300,49",0,"5.373.847,00",0,"4.211.665,57",0,"139.740,00","1.113,00",0,,"ARS 15.684.915,19","Dolar 1415. BTC 87k, ETH 2.8k"
,16/12/2025,"3.189.274,92",0.00269623,0,"1.912,46",0,"6.617.301,00",0,"5.739.396,62","1.331,00","135.740,00","1.113,00",0,,"ARS 19.298.832,54",Dolar 1480 y Aguinaldo
,20/01/2026,"2.142.084,55","0,00001730",0,"1.461,49",0,"5.563.930,00",0,"6.119.090,09","1.630,22","144.840,00","1.113,00",0,,"ARS 18.016.586,94","Dolar 1465, Cámara y Mendoza"
,,,,,,,,,,,,,,,,"Nuevo contrato, Lente y Bad Bunny"